Variable / Field Name,Form Name,Section Header,Auto extraction,Manual extraction,Needs a review,Num_BCH_MIS_C_Patients (out of 49),concept_cd,concept_desc, concept_path,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cd3_cd8_abs_obtained,laboratory_values,"Lymphocyte Subsets: CD3+ CD8+, Absolute",Yes,,,24,,,,radio,Obtained,"1, Yes | 0, No",,,,,,"[lympho_obtained] = ""1""",Y,RH,,,,
cd3_cd8_abs_date,laboratory_values,,Yes,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[cd3_cd8_abs_obtained] = ""1""",Y,,,,,
cd3_cd8_abs_value,laboratory_values,,Yes,,,,,,,text,Value,,Absolute cells/microliter,number,224,1014,,"[cd3_cd8_abs_obtained] = ""1""",Y,,,,,
cd3_cd8_abs_unit,laboratory_values,,Yes,,,,,,,text,Units if different from specified,,"Write ""-88"" for Not Applicable if unit listed below the Value field was used",,,,,"[cd3_cd8_abs_obtained] = ""1""",,,,,,
cd3_cd16_cd56_obtained,laboratory_values,Lymphocyte Subsets: CD3-%/CD16+ or CD56+%,Yes,,,24,,,,radio,Obtained,"1, Yes | 0, No",,,,,,"[lympho_obtained] = ""1""",Y,RH,,,,
cd3_cd16_cd56_date,laboratory_values,,Yes,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[cd3_cd16_cd56_obtained] = ""1""",Y,,,,,
cd3_cd16_cd56_value,laboratory_values,,Yes,,,,,,,text,Value,,%,number,0,100,,"[cd3_cd16_cd56_obtained] = ""1""",Y,,,,,
cd3_cd16_cd56_unit,laboratory_values,,Yes,,,,,,,text,Units if different from specified,,"Write ""-88"" for Not Applicable if unit listed below the Value field was used",,,,,"[cd3_cd16_cd56_obtained] = ""1""",,,,,,
cd19_obtained,laboratory_values,Lymphocyte Subsets: CD19+ (%),Yes,,,29,,,,radio,Obtained,"1, Yes | 0, No",,,,,,"[lympho_obtained] = ""1""",Y,RH,,,,
cd19_date,laboratory_values,,Yes,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[cd19_obtained] = ""1""",Y,,,,,
cd19_value,laboratory_values,,Yes,,,,,,,text,Value,,%,number,0,100,,"[cd19_obtained] = ""1""",Y,,,,,
cd19_unit,laboratory_values,,Yes,,,,,,,text,Units if different from specified,,"Write ""-88"" for Not Applicable if unit listed below the Value field was used",,,,,"[cd19_obtained] = ""1""",,,,,,
cd19_abs_obtained,laboratory_values,"Lymphocyte Subsets: CD+19, Absolute",Yes,,,24,,,,radio,Obtained,"1, Yes | 0, No",,,,,,"[lympho_obtained] = ""1""",Y,RH,,,,
cd19_abs_date,laboratory_values,,Yes,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[cd19_abs_obtained] = ""1""",Y,,,,,
cd19_abs_value,laboratory_values,,Yes,,,,,,,text,Value,,Absolute,number,110,3000,,"[cd19_abs_obtained] = ""1""",Y,,,,,
cd19_abs_unit,laboratory_values,,Yes,,,,,,,text,Units if different from specified,,"Write ""-88"" for Not Applicable if unit listed below the Value field was used",,,,,"[cd19_abs_obtained] = ""1""",,,,,,
ac4_cd8_ratio_obtained,laboratory_values,Lymphocyte Subsets: CD4/CD8 ratio,Yes,,,29,,,,radio,Obtained,"1, Yes | 0, No",,,,,,"[lympho_obtained] = ""1""",Y,RH,,,,
ac4_cd8_ratio_date,laboratory_values,,Yes,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[ac4_cd8_ratio_obtained] = ""1""",Y,,,,,
ac4_cd8_ratio_value,laboratory_values,,Yes,,,,,,,text,Value,,ratio,number,0.05,10,,"[ac4_cd8_ratio_obtained] = ""1""",Y,,,,,
ac4_cd8_ratio_unit,laboratory_values,,Yes,,,,,,,text,Units if different from specified,,"Write ""-88"" for Not Applicable if unit listed below the Value field was used",,,,,"[ac4_cd8_ratio_obtained] = ""1""",,,,,,
t_sum_obtained,laboratory_values,Lymphocyte Subsets: %T-sum,Yes,,,24,,,,radio,Obtained,"1, Yes | 0, No",,,,,,"[lympho_obtained] = ""1""",Y,RH,,,,
t_sum_date,laboratory_values,,Yes,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[t_sum_obtained] = ""1""",Y,,,,,
t_sum_value,laboratory_values,,Yes,,,,,,,text,Value,,%,number,0,100,,"[t_sum_obtained] = ""1""",Y,,,,,
t_sum_unit,laboratory_values,,Yes,,,,,,,text,Unit,,,,,,,"[t_sum_obtained] = ""1""",Y,,,,,
other_labs,laboratory_values,Other Labs,,,,,,,,radio,Are there other labs available?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
other1_specify,laboratory_values,Other Lab 1,,,,,,,,text,"Other, specify",,,,,,,"[other_labs] = ""1""",Y,,,,,
other1_date,laboratory_values,,,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[other1_specify] <> """" and [other1_specify] <> ""-88"" ",Y,,,,,
other1_value,laboratory_values,,,,,,,,,text,Value,,,number,,,,"[other1_specify] <> """" and [other1_specify] <> ""-88"" ",Y,,,,,
other1_unit,laboratory_values,,,,,,,,,text,Unit,,,,,,,"[other1_specify] <> """" and [other1_specify] <> ""-88"" ",Y,,,,,
other2_specify,laboratory_values,Other Lab 2,,,,,,,,text,"Other, specify",,"If Not Applicable, write ""-88""",,,,,"[other_labs] = ""1""",,,,,,
other2_date,laboratory_values,,,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[other2_specify] <> """" and [other2_specify] <> ""-88"" ",Y,,,,,
other2_value,laboratory_values,,,,,,,,,text,Value,,,number,,,,"[other2_specify] <> """" and [other2_specify] <> ""-88"" ",Y,,,,,
other2_unit,laboratory_values,,,,,,,,,text,Unit,,,,,,,"[other2_specify] <> """" and [other2_specify] <> ""-88"" ",Y,,,,,
other3_specify,laboratory_values,Other Lab 3,,,,,,,,text,"Other, specify",,"If Not Applicable, write ""-88""",,,,,"[other_labs] = ""1""",,,,,,
other3_date,laboratory_values,,,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[other3_specify] <> """" and [other3_specify] <> ""-88"" ",Y,,,,,
other3_value,laboratory_values,,,,,,,,,text,Value,,,number,,,,"[other3_specify] <> """" and [other3_specify] <> ""-88"" ",Y,,,,,
other3_unit,laboratory_values,,,,,,,,,text,Unit,,,,,,,"[other3_specify] <> """" and [other3_specify] <> ""-88"" ",Y,,,,,
other4_specify,laboratory_values,Other Lab 4,,,,,,,,text,"Other, specify",,"If Not Applicable, write ""-88""",,,,,"[other_labs] = ""1""",,,,,,
other4_date,laboratory_values,,,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[other4_specify] <> """" and [other4_specify] <> ""-88""",Y,,,,,
other4_value,laboratory_values,,,,,,,,,text,Value,,,number,,,,"[other4_specify] <> """" and [other4_specify] <> ""-88""",Y,,,,,
other4_unit,laboratory_values,,,,,,,,,text,Unit,,,,,,,"[other4_specify] <> """" and [other4_specify] <> ""-88""",Y,,,,,
other5_specify,laboratory_values,Other Lab 5,,,,,,,,text,"Other, specify",,"If Not Applicable, write ""-88""",,,,,"[other_labs] = ""1""",,,,,,
other5_date,laboratory_values,,,,,,,,,text,Date obtained,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,1/30/20,,,"[other5_specify] <> """" and [other5_specify] <> ""-88""",Y,,,,,
other5_value,laboratory_values,,,,,,,,,text,Value,,,number,,,,"[other5_specify] <> """" and [other5_specify] <> ""-88""",Y,,,,,
other5_unit,laboratory_values,,,,,,,,,text,Unit,,,,,,,"[other5_specify] <> """" and [other5_specify] <> ""-88""",Y,,,,,
echo_na,local_echocardiogram,,N/A,,Yes,,,,,radio,"<font color=""red"">WARNING: The eligibility form does NOT indicate that this participant is eligible. Please do not complete this form until the participant is eligible according to the Eligibility Form</font>","1, Acknowledged",,,,,,"[day_1_arm_1][elig] <> ""1""",,LV,,,,
echo_date,local_echocardiogram,"INSTRUCTIONS: If obtained during initial hospitalization, please complete one form for the first echo obtained at admission in the Day 1 visit, and one form for the echo performed closest to discharge in the Hospital Discharge visit. In addition, if interim echos have either a worse EF or higher maximum LAD or RCA z-scores, these echos and forms should also be submitted-for a potential total of up to 4 echos during the MIS-C hospitalization.  

For echos obtained at follow up visits, please choose the closest applicable follow up visit.

For echos obtained during a hospital re-admission within 6 months of initial hospital discharge, please enter the worst echo. ",Yes,,,48,,"CPT4:93303	Transthoracic echocardiography for congenital cardiac anomalies; complete
CPT4:93662	Intracardiac echocardiography during therapeutic/diagnostic intervention, including imaging supervision and interpretation (List separately in addition to code for primary procedure)
CPT4:93318	Echocardiography, transesophageal (TEE) for monitoring purposes, including probe placement, real time 2-dimensional image acquisition and interpretation leading to ongoing (continuous) assessment of (dynamically changing) cardiac pumping function and to therapeutic measures on an immediate time basis
CPT4:93320	Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); complete
CPT4:93321	Doppler echocardiography, pulsed wave and/or continuous wave with spectral display (List separately in addition to codes for echocardiographic imaging); follow-up or limited study (List separately in addition to codes for echocardiographic imaging)
CPT4:93325	Doppler echocardiography color flow velocity mapping (List separately in addition to codes for echocardiography)
CPT4:93350	Echocardiography, transthoracic, real-time with image documentation (2D), with or without M-mode recording, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report
CPT4:93304	Transthoracic echocardiography for congenital cardiac anomalies; follow-up or limited study
CPT4:93306	Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography
CPT4:93307	Echocardiography, transthoracic, real-time with image documentation (2D) with or without M-mode recording; complete
CPT4:93308	Echocardiography, transthoracic, real-time with image documentation (2D) with or without M-mode recording; follow-up or limited study
CPT4:93312	Echocardiography, transesophageal, real time with image documentation (2D) (with or without M-mode recording); including probe placement, image acquisition, interpretation and report
CPT4:93313	Echocardiography, transesophageal, real time with image documentation (2D) (with or without M-mode recording); placement of transesophageal probe only
CPT4:93314	Echocardiography, transesophageal, real time with image documentation (2D) (with or without M-mode recording); image acquisition, interpretation and report only
CPT4:93315	Transesophageal echocardiography for congenital cardiac anomalies; including probe placement, image acquisition, interpretation and report
CPT4:93316	Transesophageal echocardiography for congenital cardiac anomalies; placement of transesophageal probe only
CPT4:93317	Transesophageal echocardiography for congenital cardiac anomalies; image acquisition, interpretation and report only
CPT4:76827	Doppler echocardiography, fetal, cardiovascular system, pulsed wave and/or continuous wave with spectral display; complete
CPT4:76828	Doppler echocardiography, fetal, cardiovascular system, pulsed wave and/or continuous wave with spectral display; follow-up or repeat study
CPT4:76826	Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording; follow-up or repeat study
CPT4:76825	Echocardiography, fetal, cardiovascular system, real time with image documentation (2D), with or without M-mode recording","\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93321) Doppler echocardiography,~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93325) Doppler echocardiography ~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93350) Echocardiography, transth~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93304) Transthoracic echocardiog~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93306) Echocardiography trans~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93307) Echocardiography, transth~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93308) Echocardiography, transth~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93312) Echocardiography, transes~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93313) Echocardiography, transes~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93314) Echocardiography, transes~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93315) Transesophageal echocardi~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93316) Transesophageal echocardi~\
\i2b2\Procedures\CPT\(90281-99199) Medicine\(92950-93799) Cardiovascular\(93303-93350) Echocardiography\(93317) Transesophageal echocardi~\
\i2b2\Procedures\CPT\(70010-79999) Radiology\(76506-76999) Diagnostic Ultrasound\(76801-76828) Obstetrical\(76827) Doppler echocardiography,~\
\i2b2\Procedures\CPT\(70010-79999) Radiology\(76506-76999) Diagnostic Ultrasound\(76801-76828) Obstetrical\(76828) Doppler echocardiography,~\
\i2b2\Procedures\CPT\(70010-79999) Radiology\(76506-76999) Diagnostic Ultrasound\(76801-76828) Obstetrical\(76826) Echocardiography, fetal, ~\
\i2b2\Procedures\CPT\(70010-79999) Radiology\(76506-76999) Diagnostic Ultrasound\(76801-76828) Obstetrical\(76825) Echocardiography, fetal, ~\",text,Date of echocardiogram,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,3/1/20,,,,Y,,,,,
echo_taken,local_echocardiogram,,,,Yes, ,,,,radio,Echocardiogram obtained during,"1, Initial echocardiogram MIS-C hospitalization | 2, Echocardiogram closest to discharge MIS-C hospitalization | 3, 2 Weeks Post Discharge | 4, 6 Weeks Post Discharge | 5, 6 Months Post Discharge | 20, Worst EF (if not one of the echo's at a specified time point) | 21, Worst LAD or RCA Z-score (if not one of the echocardiograms at a specified time point) | 6, Obtained 1 Year Post Discharge due to persistent abnormalities of EF and/or coronaries | 7, Obtained 2 Years Post Discharge due to persistent abnormalities of EF and/or coronaries |8, Obtained 3 Years Post Discharge due to persistent abnormalities of EF and/or coronaries |9, Obtained 4 Years Post Discharge due to persistent abnormalities of EF and/or coronaries |10, Obtained 5 Years Post Discharge due to persistent abnormalities of EF and/or coronaries | 25, Hospital readmission within 6 months of initial hospital discharge (worst echo) | 99, Other Unscheduled",,,,,,,Y,,,,,
echo_visit_other,local_echocardiogram,,,,Yes,,,,,text,Please specify time point,,,,,,,"[echo_taken] = ""99""",Y,,,,,
echo_rsch_or_clin,local_echocardiogram,,,,Yes,,,,,radio,Was the echocardiogram obtained as part of research or clinical care?,"1, Research | 2, Clinical Care",,,,,,,Y,RH,,,,
echo_height,local_echocardiogram,,Yes,,,48,VITAL:2700653,Height,\i2b2\Vitals\Height\,text,Participant Height or Length,,cm,number,17,214,,,Y,,,,,
echo_weight,local_echocardiogram,,Yes,,,49,VITAL:2700654,Weight,\i2b2\Vitals\Weight\,text,Participant Weight,,kg,number,0.22,136,,,Y,,,,,
bp_systolic,local_echocardiogram,,Yes,,,49,VITAL:703501,Systolic Blood Pressure,\i2b2\Vitals\Blood Pressure\Systolic Blood Pressure\,text,Blood pressure systolic,,mmHg,number,60,180,,,Y,,,,,
bp_diastolic,local_echocardiogram,,Yes,,,49,VITAL:703516,Diastolic Blood Pressure,\i2b2\Vitals\Blood Pressure\Diastolic Blood Pressure\,text,Blood pressure diastolic,,mmHg,number,40,120,,,Y,,,,,
echo_sent,local_echocardiogram,,,Notes,,,,,,radio,Was the echocardiogram sent to the Core Lab?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_sent_dt,local_echocardiogram,,,Notes,,,,,,text,Date echocardiogram sent to Core Lab,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,"[echo_sent] = ""1""",Y,,,,,
echo_reason_not_sent,local_echocardiogram,,,Notes,,,,,,Notes,"If not sent, please explain why",,,,,,,"[echo_sent] = ""0""",Y,,,,,
echo_rca,local_echocardiogram,Coronary Artery Data,,Notes,,,,,,radio,Proximal RCA seen and measurable,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_rca_d,local_echocardiogram,,,Notes,,,,,,text,"If Yes, RCA dimension ",,mm,number,1,10,,"[echo_rca] = ""1""",Y,,,,,
echo_lad,local_echocardiogram,,,Notes,"ICD-10-CM Code I21.02
ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery?",,,,,radio,Proximal LAD seen and measurable,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_lad_d,local_echocardiogram,,,Notes,,,,,,text,If Yes proximal LAD dimension ,,mm,number,1,10,,"[echo_lad] = ""1""",Y,,,,,
echo_lmca,local_echocardiogram,,,,I21.01 ST elevation (STEMI) myocardial infarction involving left main coronary artery?,,,,,radio,LMCA seen and measurable,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_lmca_d,local_echocardiogram,,,Notes,,,,,,text,"If Yes, LMCA dimension ",,mm,number,1,10,,"[echo_lmca] = ""1""",Y,,,,,
echo_circumflex,local_echocardiogram,,,, I21.21 ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,,,,,radio,Circumflex seen and measurable,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_circumflex_d,local_echocardiogram,,,Notes,,,,,,text,"If Yes, circumflex dimension ",,mm,number,1,10,,"[echo_circumflex] = ""1""",Y,,,,,
echo_rca_middle,local_echocardiogram,,,Notes,,,,,,radio,RCA (middle segment) seen and measurable  ,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_rca_middle_d,local_echocardiogram,,,,Yes,,,,,text,"If Yes, RCA (middle segment) dimension ",,mm,number,1,10,,"[echo_rca_middle] = ""1""",Y,,,,,
echo_rca_distal,local_echocardiogram,,,Notes,,,,,,radio,RCA (distal segment) seen and measurable  ,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_rca_distal_d,local_echocardiogram,,,,Yes,,,,,text,"If Yes, RCA (distal segment) dimension ",,mm,number,1,10,,"[echo_rca_distal] = ""1""",Y,,,,,
echo_posterior_artery,local_echocardiogram,,,Notes,,,,,,radio,Posterior descending artery seen and measurable,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_posterior_artery_d,local_echocardiogram,,,,Yes,,,,,text,"If Yes, posterior descending artery dimension ",,mm,number,1,10,,"[echo_posterior_artery] = ""1""",Y,,,,,
echo_coronary_aneurysm,local_echocardiogram,,,,Yes,,,,,radio,Any coronary artery aneurysms by the Japanese Ministry of Health criteria defined as:<br>Age <5 years:<br>Small aneurysm: <4mm<br>Moderate aneurysm age: >4 mm but less than or equal to 8 mm<br>Large/giant aneurysm age: >8 mm<br><br>Age 5+ years:<br>Small aneurysm: Dilation but with internal diameter of segment 1.5 times or less adjacent segment<br>Moderate aneurysm: Internal diameter of segment >1.5 to 4 times adjacent segment<br>Large/giant aneurysm: Internal diameter of segment measuring >4 times adjacent segment,"1, Yes | 0, No | 99, Unknown",,,,,,,Y,RH,,,,
echo_aneurysm_segment,local_echocardiogram,,,,Yes,,,,,checkbox,In what coronary artery segments (choose all that apply),"1, Proximal RCA | 2, Proximal LAD | 3, Proximal LMCA | 4, RCA (middle segment) | 5, RCA (distal segment) | 6, Posterior descending artery",,,,,,"[echo_coronary_aneurysm] = ""1""",Y,,,,,
echo_thrombus,local_echocardiogram,,,,"2021 ICD-10-CM Diagnosis Code I24.0  
Acute coronary thrombosis not resulting in myocardial infarction?",,,,,radio,Coronary artery thrombus is felt to be,"1, Present | 2, Absent | 99, Unable to deturmine based on imaging",,,,,,,Y,,,,,
echo_lvef,local_echocardiogram,Function Data,,Notes,,,,,,radio,Left ventricular ejection fraction (LVEF) obtained,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_lvef_simsons,local_echocardiogram,,,Notes,,,,,,text,Method used and LVEF (enter % in all that apply): Simpson's biplane EF ,,%,number,10,80,,"[echo_lvef] = ""1""",Y,,,,,
echo_lvef_4c,local_echocardiogram,,,Notes,,,,,,text,Method used and LVEF (enter % in all that apply): 4C LVEF ,,%,number,10,80,,"[echo_lvef] = ""1""",Y,,,,,
echo_lvef_2c,local_echocardiogram,,,Notes,,,,,,text,Method used and LVEF (enter % in all that apply): 2C LVEF ,,%,number,10,80,,"[echo_lvef] = ""1""",Y,,,,,
echo_lvef_areal,local_echocardiogram,,,Notes,,,,,,text,Method used and LVEF (enter % in all that apply): Area-length,,%,number,10,80,,"[echo_lvef] = ""1""",Y,,,,,
echo_lvef_other,local_echocardiogram,,,Notes,,,,,,text,Method used and LVEF (enter % in all that apply): Other method used,,%,number,10,80,,"[echo_lvef] = ""1""",Y,,,,,
echo_lvef_other_s,local_echocardiogram,,,Notes,,,,,,text,Please specify the other method used,,,,,,,"[echo_lvef_other] <> """"",Y,,,,,
echo_lvsf,local_echocardiogram,,,Notes,,,,,,radio,LV shortening fraction (SF) obtained,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_lvsf_d,local_echocardiogram,,,Notes,,,,,,text,LVSF,,%,number,5,60,,"[echo_lvsf] = ""1""",Y,,,,,
echo_lvedv,local_echocardiogram,,,Notes,,,,,,radio,LV end-diastolic volume (EDV) obtained,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_lvedv_d,local_echocardiogram,,,Notes,,,,,,text,LVEDV,,ml,number,60,160,,"[echo_lvedv] = ""1""",Y,,,,,
echo_lvgls,local_echocardiogram,,,Notes,,,,,,radio,LV global longitudinal strain (GLS) obtained,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_lvgls_d,local_echocardiogram,,,Notes,,,,,,text,LV GLS ,,%,number,-5,-30,,"[echo_lvgls] = ""1""",Y,,,,,
echo_lvcircumferential,local_echocardiogram,,,Notes,,,,,,radio,LV circumferential strain obtained,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_lvcircumferential_d,local_echocardiogram,,,Notes,,,,,,text,LV circumferential strain ,,%,number,-5,-30,,"[echo_lvcircumferential] = ""1""",Y,,,,,
echo_lv_systolic_funct,local_echocardiogram,,,Notes,,,,,,radio,Qualitative assessment of LV systolic function (if EF and SF unavailable),"1, Hyperdynamic | 2, Normal | 3, Low normal | 4, Mildly decreased | 5, Moderately decreased | 6, Severely decreased | 99, N/A (because EF and/or SF available)",,,,,,,Y,,,,,
echo_mv,local_echocardiogram,,,Notes,,,,,,radio,Mitral valve (MV) lateral annular TDI obtained,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_mv_e,local_echocardiogram,,,Notes,,,,,,text,MV lateral annular E',,cm/s,number,0,30,,"[echo_mv] = ""1""",Y,,,,,
echo_mv_a,local_echocardiogram,,,Notes,,,,,,text,MV lateral annular A',,cm/s,number,0,30,,"[echo_mv] = ""1""",Y,,,,,
echo_mv_inflow,local_echocardiogram,,,Notes,,,,,,radio,MV inflow obtained,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_mv_inflow_e,local_echocardiogram,,,Notes,,,,,,text,MV lateral annular E,,m/s,number,0,4,,"[echo_mv_inflow] = ""1""",Y,,,,,
echo_mv_inflow_a,local_echocardiogram,,,Notes,,,,,,text,MV lateral annular A,,m/s,number,0,4,,"[echo_mv_inflow] = ""1""",Y,,,,,
echo_rv_systolic,local_echocardiogram,,,Notes,,,,,,radio,Qualitative assessment of right ventricular (RV) systolic function ,"1, Normal | 2, Mildly or moderately decreased | 3, Severely decreased | 4, RV not well visualized | 99, Not obtained",,,,,,,Y,,,,,
echo_rv_long,local_echocardiogram,,,Notes,,,,,,radio,RV global longitudinal strain obtained (optional),"1, Yes | 0, No",,,,,,,,RH,,,,
echo_rv_long_d,local_echocardiogram,,,Notes,,,,,,text,RV global longitudinal strain ,,%,number,-5,-25,,"[echo_rv_long] = ""1""",Y,,,,,
echo_mitral_reg,local_echocardiogram,Other Echo Findings,,,"2021 ICD-10-CM Diagnosis Code I34.0  
Nonrheumatic mitral (valve) insufficiency?",,,,,radio,Is mitral regurgitation present,"1, Yes | 0, No | 99, Not measured",,,,,,,Y,RH,,,,
echo_mitral_reg_sev,local_echocardiogram,,,Notes,,,,,,radio,"If Yes, severity","1, Trivial | 2, Mild | 3, Moderate | 4, Severe",,,,,,"[echo_mitral_reg] = ""1""",Y,,,,,
echo_cw_doppler,local_echocardiogram,,,Notes,,,,,,radio,Was CW Doppler of the mitral regurgitation obtained?,"1, Yes | 0, No",,,,,,"[echo_mitral_reg] = ""1""",Y,RH,,,,
echo_cw_doppler_lvla,local_echocardiogram,,,Notes,,,,,,text,"If Yes, LV-LA gradient ",,mmHg,number,0,150,,"[echo_cw_doppler] = ""1""",Y,,,,,
echo_aortic_reg,local_echocardiogram,,,,"2021 ICD-10-CM Diagnosis Code I35.1  
Nonrheumatic aortic (valve) insufficiency?",,,,,radio,Is aortic regurgitation present,"1, Yes | 0, No | 99, Not measured",,,,,,,Y,RH,,,,
echo_aortic_reg_sev,local_echocardiogram,,,Notes,,,,,,radio,"If Yes, severity","1, Trivial | 2, Mild | 3, Moderate | 4, Severe",,,,,,"[echo_aortic_reg] = ""1""",Y,,,,,
echo_tricuspid_reg,local_echocardiogram,,,," 2021 ICD-10-CM Diagnosis Code I36.1  
Nonrheumatic tricuspid (valve) insufficiency?",,,,,radio,Is tricuspid insufficiency present,"1, Yes | 0, No | 99, Not measured",,,,,,,Y,RH,,,,
echo_tricuspid_reg_sev,local_echocardiogram,,, Notes,,,,,,radio,"If Yes, severity","1, Trivial | 2, Mild | 3, Moderate | 4, Severe",,,,,,"[echo_tricuspid_reg] = ""1""",Y,,,,,
echo_tricuspid_insuf,local_echocardiogram,,,Notes,,,,,,radio,Was CW Doppler of the tricuspid insufficiency obtained? ,"1, Yes | 0, No",,,,,,"[echo_tricuspid_reg] = ""1""",Y,RH,,,,
echo_tricuspid_insuf_rvra,local_echocardiogram,,,Notes,,,,,,text,"If Yes, highest RV-RA gradient ",,mmHg,number,0,50,,"[echo_tricuspid_insuf] = ""1""",Y,,,,,
echo_tricuspid_insuf_env,local_echocardiogram,,,Notes,,,,,,radio,Was the envelope complete? ,"1, Yes | 0, No",,,,,,"[echo_tricuspid_insuf] = ""1""",Y,RH,,,,
echo_peri,local_echocardiogram,,,Notes,,,,,,radio,Is a pericardial effusion present,"1, Yes | 0, No | 99, Not measured",,,,,,,Y,RH,,,,
echo_peri_sev,local_echocardiogram,,,Notes,,,,,,radio,"If Yes, severity","1, Trivial | 2, Mild | 3, Moderate | 4, Severe",,,,,,"[echo_peri] = ""1""",Y,,,,,
echo_aortic_annul,local_echocardiogram,,,Notes,,,,,,radio,Aortic valve annulus visualized and able to measure,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_aortic_annul_d,local_echocardiogram,,,Notes,,,,,,text,Aortic valve annulus ,,mm,number,4,50,,"[echo_aortic_annul] = ""1""",Y,,,,,
echo_aortic_root,local_echocardiogram,,, Notes,,,,,,radio,Aortic root/sinus of Valsalva visualized and able to measure,"1, Yes | 0, No",,,,,,,Y,RH,,,,
echo_aortic_root_d,local_echocardiogram,,,Notes,,,,,,text,Aortic root,,mm,number,4,50,,"[echo_aortic_root] = ""1""",Y,,,,,
